job_id,title,location,job_posting_url,application_url,job_state,experience_level,remote_allowed,salary,salary_band,skills,job_industry,company_name,experience_rank,cluster_id,is_anomaly
2147609785,FP&A Analyst,"Dallas, TX",https://www.linkedin.com/jobs/view/2147609785/?trk=jobs_biz_prem_srch,https://integritymarketinggroup.thejobnetwork.com/Job/587676844?etd=MUVP6CXQ22IN5LGPSSSSYOA35RG43PEJUJ32JSUXINF4YX2375IS7LY45XUSYWFRRU7S2LDGAM5F6CQH7HEBZDE4UHOAOCKVA6QFN4V2BIAFIO3FBWIMG75NPKTWZPL7SKXYQADVGRN5U%3d%3d%3d,TX,Not Specified,0,,0,"Finance, Sales",Staffing and Recruiting,The Job Network,0,1,0
2147609789,Entry Level Oracle Financial Technology Consultant,"East Chicago, IN",https://www.linkedin.com/jobs/view/2147609789/?trk=jobs_biz_prem_srch,,IN,Entry level,0,,0,Finance,Financial Services,Revature,2,3,0
2147609816,Maintenance Mechanic,"Suffolk, VA",https://www.linkedin.com/jobs/view/2147609816/?trk=jobs_biz_prem_srch,https://virginiaeconomicdevelopmentpartnershipvedp.thejobnetwork.com/Job/591318865?etd=MUVP6CXQ22IN5ZT4UYLX7IVOKFUWEWNOUS26PYRPYL323L7LOJJMGJM2T4G5HG5Y35TWKS5IM2WAV2NFKINAFGKOYJGSSU7BWQCE5XHPNX7DL7VLVMXU4WAGAD7TZTMUBSHJQORRATDMY%3d%3d%3d,VA,Not Specified,0,,0,"Management, Manufacturing",Staffing and Recruiting,The Job Network,0,1,0
2147609835,Trade Review Principal,"Urbandale, IA",https://www.linkedin.com/jobs/view/2147609835/?trk=jobs_biz_prem_srch,https://integritymarketinggroup.thejobnetwork.com/Job/571733092?etd=MUVP6CXQ22IN4HMKTOLZLT2PQENROIBXCQVASYWZPIIJ3X3W6JCZ4V5DNS5CLWR6YO6UM57W354RGXSWP2C7466NXK6VL2OIPIMNNMZLQSFXPVQFPIW5QBQQJUZXEJGACDYJEE7CMB6TO%3d%3d%3d,IA,Not Specified,0,,0,"Management, Manufacturing",Staffing and Recruiting,The Job Network,0,1,0
2147609840,Mover/Junk Hauler/Crew Member,"St Louis, MO",https://www.linkedin.com/jobs/view/2147609840/?trk=jobs_biz_prem_srch,https://chattr-transactionalmaster.thejobnetwork.com/Job/568766832?etd=MUVP6CXQ22IN53Z4ELF5BVO5C2T25VATHWR4Y3JW6KGVJJB7NEZSOZQ6HW7SF7SA4IX7XGB74QJ3JRXM26HDA5ICOGZXGNOBSW75MZXQKB6OHHICOGEAGMTAPASOLUJP54XKAM7RQYYUI%3d%3d%3d,MO,Not Specified,0,46800.0,2,"Management, Manufacturing",Staffing and Recruiting,The Job Network,0,1,0
2147609858,Dental CAD/CAM Designer - $20-$30/hour,"Memphis, TN",https://www.linkedin.com/jobs/view/2147609858/?trk=jobs_biz_prem_srch,https://directdental.thejobnetwork.com/Job/592673827?etd=MUVP6CXQ22IN56GTHTMOBHAVSQQOPIIQ2VX5WHJ2KSPYO4H26DBVIP2VIPCJORWVOSZFC4ABIJ4XOUUNGXY3I5DAKFZ7JR4QMUN243FLFD57VS4SXEB633ZGXR4LRQOMDSBQ5TUFSGUGO%3d%3d%3d,TN,Not Specified,0,,0,Health Care Provider,Staffing and Recruiting,The Job Network,0,1,0
2147609929,Production Planner,"Hanover, PA",https://www.linkedin.com/jobs/view/2147609929/?trk=jobs_biz_prem_srch,https://yohskf.thejobnetwork.com/Job/592500987?etd=MUVP6CXQ22IN5IPWQNO5ITRZHO6KCNTSRHDXDXV4OQN46R63FAONK2TD7W5BQ3J6Y3UGFAT54GNNOWHKHHMU64UAA7KGKS4CF7HB6OR2MS3MSHFGNU5DJKQUJQULMXVL7XRST5JRASGKI%3d%3d%3d,PA,Not Specified,0,,0,"Management, Manufacturing",Staffing and Recruiting,The Job Network,0,1,0
2157930553,Customer Service Representative,"Kokomo, IN",https://www.linkedin.com/jobs/view/2157930553/?trk=jobs_biz_prem_srch,,IN,Not Specified,0,,0,,Insurance,Brady Insurance Group LLC,0,1,0
2195921577,Associate Planner,"Waco, TX",https://www.linkedin.com/jobs/view/2195921577/?trk=jobs_biz_prem_srch,,TX,Not Specified,0,,0,Other,Airlines and Aviation,,0,1,0
2234533717,Full Stack Engineer,United States,https://www.linkedin.com/jobs/view/2234533717/?trk=jobs_biz_prem_srch,,,Not Specified,1,,0,"Engineering, Information Technology",Business Consulting and Services,Ideando Inc,0,4,0
2269442456,Computer Scientist,United States,https://www.linkedin.com/jobs/view/2269442456/?trk=jobs_biz_prem_srch,https://www.navxcom.com/jobs/computer-scientist-10,,Not Specified,1,,0,"Engineering, Information Technology",Space Research and Technology,navXcom,0,4,0
2314566469,Front end specialist,"Baton Rouge, LA",https://www.linkedin.com/jobs/view/2314566469/?trk=jobs_biz_prem_srch,,LA,Not Specified,0,,0,"Engineering, Information Technology",Law Practice,Diment & Associates,0,1,0
2372177891,Client Service Associate,"Waseca, MN",https://www.linkedin.com/jobs/view/2372177891/?trk=jobs_biz_prem_srch,,MN,Not Specified,0,,0,"Finance, Sales",Financial Services,iWealth,0,1,0
2404832493,Sales and Design consultant,"San Diego, CA",https://www.linkedin.com/jobs/view/2404832493/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,50960.0,2,,Design Services,International Bath and Tile,0,1,0
2428973832,Staff Accountant,"Cumberland, MD",https://www.linkedin.com/jobs/view/2428973832/?trk=jobs_biz_prem_srch,,MD,Not Specified,0,,0,"Accounting/Auditing, Finance",Food and Beverage Manufacturing,"Grow West MD, LLC",0,1,0
2457183642,Quality Assurance Manager,"Hebron, KY",https://www.linkedin.com/jobs/view/2457183642/?trk=jobs_biz_prem_srch,,KY,Mid-Senior level,0,,0,"Project Management, Quality Assurance",Manufacturing,Galerie Candy and Gifts,4,0,0
2558399667,"Validation Engineer, Labware LIMS","Foster City, CA",https://www.linkedin.com/jobs/view/2558399667/?trk=jobs_biz_prem_srch,,CA,Mid-Senior level,0,135200.0,5,"Information Technology, Manufacturing, Quality Assurance",Pharmaceutical Manufacturing,"I.T. Solutions, Inc.",4,2,0
2735151240,Intern- Business Analytics,Greensboro--Winston-Salem--High Point Area,https://www.linkedin.com/jobs/view/2735151240/?trk=jobs_biz_prem_srch,,,Not Specified,0,,0,,Retail Apparel and Fashion,LT Apparel Group,0,1,0
2737009242,Service Manager,"Los Angeles, CA",https://www.linkedin.com/jobs/view/2737009242/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,85000.0,4,"Customer Service, Information Technology",,,0,1,0
2747409392,Robot Monitor & Maintenance Technician,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/2747409392/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,,0,"Engineering, Information Technology",Facilities Services,ViaBot,0,1,0
2748500131,Director of Public Works,"Germantown, TN",https://www.linkedin.com/jobs/view/2748500131/?trk=jobs_biz_prem_srch,https://www.governmentjobs.com/careers/germantown/,TN,Not Specified,0,142812.8,5,"Management, Manufacturing",Government Administration,"City of Germantown, TN",0,2,0
2790549389,National Sales Manager,United States,https://www.linkedin.com/jobs/view/2790549389/?trk=jobs_biz_prem_srch,https://rogue-ales-spirits.breezy.hr/p/eadc433eee96-national-sales-manager?state=published,,Not Specified,1,,0,"Business Development, Sales",Food and Beverage Services,Rogue Ales & Spirits,0,4,0
2796728000,Fire Sprinkler Designer,"Brentwood, CA",https://www.linkedin.com/jobs/view/2796728000/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,70720.0,3,,Construction,"Thorpe Design, Inc.",0,1,0
2826285517,"Assistant Director of Admission, Midwest Regional Representative","Minneapolis, MN",https://www.linkedin.com/jobs/view/2826285517/?trk=jobs_biz_prem_srch,https://careers.butler.edu/en-us/job/495091/assistant-director-of-admission-midwest-regional-representative,MN,Not Specified,1,,0,"Education, Training",Higher Education,Butler University,0,4,0
2838336689,Executive Assistant,"Holladay, UT",https://www.linkedin.com/jobs/view/2838336689/?trk=jobs_biz_prem_srch,,UT,Not Specified,0,,0,Administrative,Financial Services,Athos Private Wealth,0,1,0
2914254129,Director of Operations,"Muncie, IN",https://www.linkedin.com/jobs/view/2914254129/?trk=jobs_biz_prem_srch,,IN,Not Specified,0,57500.0,2,"Management, Manufacturing",Strategic Management Services,Eastern Indiana Works,0,1,0
2920450495,Service Coordinator,"Omaha, NE",https://www.linkedin.com/jobs/view/2920450495/?trk=jobs_biz_prem_srch,,NE,Not Specified,0,65000.0,3,,Construction,Grunwald Mechanical Contractors & Engineers,0,1,0
2934066464,Fundraising Associate,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/2934066464/?trk=jobs_biz_prem_srch,,,Not Specified,0,,0,Other,Government Relations Services,Dynamic SRG,0,1,0
2954591060,Social Media Coordinator,"Los Angeles, CA",https://www.linkedin.com/jobs/view/2954591060/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,55120.0,2,"Marketing, Sales",Retail,Naked Wardrobe,0,1,0
2957460032,Professional Window Cleaning Technician,"Omaha, NE",https://www.linkedin.com/jobs/view/2957460032/?trk=jobs_biz_prem_srch,,NE,Not Specified,0,67600.0,3,"Management, Manufacturing",Consumer Services,"Executive Cleaning Services, Inc",0,1,0
2974397965,Marketing Coordinator,"Richardson, TX",https://www.linkedin.com/jobs/view/2974397965/?trk=jobs_biz_prem_srch,,TX,Not Specified,0,80000.0,4,"Marketing, Sales",Information Technology & Services,Lynx Systems,0,1,0
2987175317,Construction Project Manager,Raleigh-Durham-Chapel Hill Area,https://www.linkedin.com/jobs/view/2987175317/?trk=jobs_biz_prem_srch,,,Not Specified,0,,0,"Information Technology, Project Management",Construction,"W.C. Construction Company, LLC",0,1,0
2989631782,Administrative Assistant - CONCUR,"New York, NY",https://www.linkedin.com/jobs/view/2989631782/?trk=jobs_biz_prem_srch,,NY,Associate,0,82500.0,4,Administrative,Financial Services,ActOne Group,3,2,0
3018278978,Seasonal Office Administrator,"Dayton, OR",https://www.linkedin.com/jobs/view/3018278978/?trk=jobs_biz_prem_srch,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-004371479&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_recruitics%26response_id%3D6ad35995d27f4dc773a4e197670e198d%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D328868%26rx_job%3DJP-004371479%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20240406T064801Z%26rx_vp%3Dslots,OR,Entry level,0,,0,Administrative,Staffing and Recruiting,Aston Carter,2,3,0
3040487795,Digital Marketing Intern,"Redmond, WA",https://www.linkedin.com/jobs/view/3040487795/?trk=jobs_biz_prem_srch,,WA,Not Specified,0,52000.0,2,"Marketing, Sales",Advertising Services,Lead Lab,0,1,0
